sale_date,year,month,week_of_year,day_of_week,month_label,commerce_event,total_revenue,total_cogs,gross_profit,gross_margin_pct,total_sessions,total_unique_visitors,total_page_views,avg_bounce_rate,avg_session_duration_sec,sessions_organic,sessions_paid_search,sessions_social,sessions_direct,sessions_email,sessions_referral,revenue_per_session,paid_search_share_pct,total_shipments,delivered_count,delayed_count,avg_delivery_days,total_shipping_fee,delay_rate_pct,total_products_tracked,products_out_of_stock,stockout_rate_pct,total_stock_on_hand,products_need_reorder,wasted_traffic_stockout,high_delay_day
"2012-07-04",2012,7,27,3,"Jul 2012","Normal",5123547.94,3982991.19,1140556.7500000005,22.26,"","","","","","","","","","","","","",33,33,0,4.333333333333333,157.76000000000002,0,395,264,66.84,23698,0,false,false
"2012-07-05",2012,7,27,4,"Jul 2012","Normal",2751773.45,2150580.23,601193.2200000002,21.85,"","","","","","","","","","","","","",45,45,0,4.444444444444445,172.75,0,395,264,66.84,23698,0,false,false
"2012-07-06",2012,7,27,5,"Jul 2012","Normal",3054029.42,2517632.84,536396.5800000001,17.56,"","","","","","","","","","","","","",94,94,0,4.5638297872340425,292.15000000000003,0,395,264,66.84,23698,0,false,false
"2012-07-07",2012,7,27,6,"Jul 2012","Normal",2667930.94,2108246.62,559684.3199999998,20.98,"","","","","","","","","","","","","",92,92,0,4.336956521739131,328.5800000000001,0,395,264,66.84,23698,0,false,false
"2012-07-08",2012,7,27,0,"Jul 2012","Normal",2360851.9,1808622.79,552229.1099999999,23.39,"","","","","","","","","","","","","",78,78,0,4.730769230769231,428.1800000000001,0,395,264,66.84,23698,0,false,false
"2012-07-09",2012,7,28,1,"Jul 2012","Normal",3548386.46,2787841.68,760544.7799999998,21.43,"","","","","","","","","","","","","",86,86,0,4.313953488372093,404.64999999999986,0,395,264,66.84,23698,0,false,false
"2012-07-10",2012,7,28,2,"Jul 2012","Normal",5234938.62,4044438.84,1190499.7800000003,22.74,"","","","","","","","","","","","","",112,112,0,4.25,416.9,0,395,264,66.84,23698,0,false,false
"2012-07-11",2012,7,28,3,"Jul 2012","Normal",5582884.78,4338313.07,1244571.71,22.29,"","","","","","","","","","","","","",136,136,0,4.4411764705882355,571.3699999999998,0,395,264,66.84,23698,0,false,false
"2012-07-12",2012,7,28,4,"Jul 2012","Normal",5734632.02,4458811.27,1275820.75,22.25,"","","","","","","","","","","","","",165,165,0,4.363636363636363,706.0700000000003,0,395,264,66.84,23698,0,false,false
"2012-07-13",2012,7,28,5,"Jul 2012","Normal",5309511.71,4143402.78,1166108.9300000002,21.96,"","","","","","","","","","","","","",169,169,0,4.3076923076923075,777.6800000000002,0,395,264,66.84,23698,0,false,false
"2012-07-14",2012,7,28,6,"Jul 2012","Normal",3820831.41,3075464.87,745366.54,19.51,"","","","","","","","","","","","","",173,173,0,4.61271676300578,873.8999999999997,0,395,264,66.84,23698,0,false,false
"2012-07-15",2012,7,28,0,"Jul 2012","Normal",3948841.28,3154482.05,794359.23,20.12,"","","","","","","","","","","","","",186,186,0,4.467741935483871,853.6,0,395,264,66.84,23698,0,false,false
"2012-07-16",2012,7,29,1,"Jul 2012","Normal",3503801.49,2708219.59,795581.9000000004,22.71,"","","","","","","","","","","","","",144,144,0,4.5625,653.3000000000002,0,395,264,66.84,23698,0,false,false
"2012-07-17",2012,7,29,2,"Jul 2012","Normal",4476729.49,3463061.65,1013667.8400000003,22.64,"","","","","","","","","","","","","",133,133,0,4.135338345864661,583.36,0,395,264,66.84,23698,0,false,false
"2012-07-18",2012,7,29,3,"Jul 2012","Normal",5184141.46,4072012.16,1112129.2999999998,21.45,"","","","","","","","","","","","","",156,156,0,4.166666666666667,880.7199999999999,0,395,264,66.84,23698,0,false,false
"2012-07-19",2012,7,29,4,"Jul 2012","Normal",6421487.11,5007270.91,1414216.2000000002,22.02,"","","","","","","","","","","","","",191,191,0,4.439790575916231,978.6300000000003,0,395,264,66.84,23698,0,false,false
"2012-07-20",2012,7,29,5,"Jul 2012","Normal",5171470.46,4213989.64,957480.8200000003,18.51,"","","","","","","","","","","","","",184,184,0,4.358695652173913,1229.6000000000004,0,395,264,66.84,23698,0,false,false
"2012-07-21",2012,7,29,6,"Jul 2012","Normal",3442157.02,2746075.45,696081.5699999998,20.22,"","","","","","","","","","","","","",192,192,0,4.598958333333333,1159.100000000001,0,395,264,66.84,23698,0,false,false
"2012-07-22",2012,7,29,0,"Jul 2012","Normal",3117550.57,2531656.38,585894.19,18.79,"","","","","","","","","","","","","",171,171,0,4.298245614035087,1069.5500000000004,0,395,264,66.84,23698,0,false,false
"2012-07-23",2012,7,30,1,"Jul 2012","Normal",4730517.69,3685006.66,1045511.0300000003,22.1,"","","","","","","","","","","","","",176,176,0,4.528409090909091,934.63,0,395,264,66.84,23698,0,false,false
"2012-07-24",2012,7,30,2,"Jul 2012","Normal",4096496.12,3248450.65,848045.4700000002,20.7,"","","","","","","","","","","","","",143,143,0,4.699300699300699,879.0999999999999,0,395,264,66.84,23698,0,false,false
"2012-07-25",2012,7,30,3,"Jul 2012","Normal",5246688.08,4140019.37,1106668.71,21.09,"","","","","","","","","","","","","",177,177,0,4.395480225988701,1012.6100000000001,0,395,264,66.84,23698,0,false,false
"2012-07-26",2012,7,30,4,"Jul 2012","Normal",5851965.06,4579171.74,1272793.3199999994,21.75,"","","","","","","","","","","","","",226,226,0,4.522123893805309,1199.8199999999993,0,395,264,66.84,23698,0,false,false
"2012-07-27",2012,7,30,5,"Jul 2012","Normal",5156699.45,3989402.2,1167297.25,22.64,"","","","","","","","","","","","","",172,172,0,4.662790697674419,877.9999999999998,0,395,264,66.84,23698,0,false,false
"2012-07-28",2012,7,30,6,"Jul 2012","Normal",4326956.84,3403662.59,923294.25,21.34,"","","","","","","","","","","","","",191,191,0,4.649214659685864,1082.3300000000004,0,395,264,66.84,23698,0,false,false
"2012-07-29",2012,7,30,0,"Jul 2012","Normal",4804199.65,3819645.91,984553.7400000002,20.49,"","","","","","","","","","","","","",188,188,0,4.569148936170213,1094.8899999999999,0,395,264,66.84,23698,0,false,false
"2012-07-30",2012,7,31,1,"Jul 2012","Normal",6586130.95,5195109.56,1391021.3900000006,21.12,"","","","","","","","","","","","","",198,198,0,4.4393939393939394,1031.6900000000003,0,395,264,66.84,23698,0,false,false
"2012-07-31",2012,7,31,2,"Jul 2012","Normal",9151622.14,7142891.18,2008730.960000001,21.95,"","","","","","","","","","","","","",215,215,0,4.334883720930232,1143.31,0,395,264,66.84,23698,0,false,false
"2012-08-01",2012,8,31,3,"Aug 2012","Normal",9148357.3,7308514.33,1839842.9700000007,20.11,"","","","","","","","","","","","","",272,272,0,4.610294117647059,1064.8400000000006,0,423,300,70.92,26249,0,false,false
"2012-08-02",2012,8,31,4,"Aug 2012","Normal",9692427,7537501.15,2154925.8499999996,22.23,"","","","","","","","","","","","","",320,320,0,4.471875,1720.9499999999982,0,423,300,70.92,26249,0,false,false
"2012-08-03",2012,8,31,5,"Aug 2012","Normal",9297269.95,7118808.46,2178461.4899999993,23.43,"","","","","","","","","","","","","",340,340,0,4.541176470588235,1986.809999999999,0,423,300,70.92,26249,0,false,false
